,name,total_auc,auc_750_850,ratio_750_850,auc_850_950,ratio_850_950,auc_950_1050,ratio_950_1050,auc_1050_1150,ratio_1050_1150,auc_1150_1250,ratio_1150_1250,auc_1250_1350,ratio_1250_1350,auc_1350_1450,ratio_1350_1450,auc_1450_1550,ratio_1450_1550
0,burundi magamba 1.CSV,135.12255147029336,6.207388830665796,0.04593895514199558,6.456104148452385,0.04777961989469802,10.96678463863833,0.08116176403795464,8.839435966035255,0.06541791780758818,5.025876738006081,0.03719495142238354,4.1372409475043,0.030618434173172573,4.120987004300908,0.030498143792133062,2.5460432554607872,0.018842474685067903
1,burundi magamba 2.CSV,134.62541947292453,6.457067780458797,0.04796321382498959,6.01828481958152,0.04470392622094596,11.002219636403353,0.08172468230352357,8.660760999570503,0.06433228608295871,4.227576232640157,0.031402511124508654,3.8694980351627306,0.02874269993224387,4.030803324257174,0.0299408784762809,2.5932462617849903,0.01926267915775398
2,burundi murambi 1 (1).CSV,311.7684860806231,14.229387801798682,0.045640879168650075,13.178051974726635,0.04226871080009928,27.78751633551695,0.08912868867808249,22.307088477047394,0.07155017095370825,11.224378794952681,0.03600228790298601,10.138151768651673,0.032518205724070375,10.357967609773041,0.03322326685415689,6.60081767372365,0.021172177331664894
3,burundi murambi 1.CSV,311.7684860806231,14.229387801798682,0.045640879168650075,13.178051974726635,0.04226871080009928,27.78751633551695,0.08912868867808249,22.307088477047394,0.07155017095370825,11.224378794952681,0.03600228790298601,10.138151768651673,0.032518205724070375,10.357967609773041,0.03322326685415689,6.60081767372365,0.021172177331664894
4,burundi murambi 2 (1).CSV,197.60779491294215,9.220463161064819,0.04666042230331539,8.891216884139434,0.04499426193210919,16.74149452905427,0.08472082053458407,13.038671365126415,0.06598257609660953,6.472218385261431,0.03275284959337167,6.487366275206496,0.032829505931507214,6.784510540653798,0.03433321313889856,4.472306147117753,0.022632235479820354
5,Ethiopia Genet 1.CSV,172.0136779219187,8.648664731952698,0.05027893616621895,8.351385315101203,0.04855070489738673,15.921060383588467,0.0925569441682157,13.111967303501338,0.07622630631415943,7.232158058573405,0.042044087109492895,6.019091617930378,0.03499193605210042,5.924372733947307,0.03444128865517618,3.316297421477221,0.019279265820841125
6,Ethiopia genet 2.CSV,224.91058689427427,10.849000802485826,0.04823695030232486,10.345515333666915,0.04599834750566955,19.866979586720646,0.08833278975906854,16.624778669480516,0.07391727930217654,9.284034719751485,0.04127878037202275,7.678668753823354,0.034140984023277365,7.589985654838287,0.033746680223666746,4.394865723165437,0.019540501778297217
7,Guatemala #2  1.CSV,104.35772550773136,5.169048943875576,0.04953201997002729,5.058157518883582,0.04846941128962079,11.35888200197687,0.10884562639433287,9.326782720598127,0.08937318895386571,4.752099666034137,0.045536635097341946,3.8273490673888864,0.036675282531961055,3.835715460269592,0.036755452858019816,1.916938831180594,0.018368921149384165
8,Guatemala #2 2.CSV,185.74867202751057,8.784895624237084,0.047294527214364064,8.741665550986214,0.04706179298924688,17.953991569915114,0.09665744241367182,14.856157336211584,0.0799798845076604,8.309816505113586,0.044736882446636546,6.498318268192149,0.034984466899605646,6.4978377452798215,0.03498187994753174,3.68555074498633,0.019841599429795527
9,Nicaragua Finca 1.CSV,227.0620701258467,10.857441691576383,0.04781706467116575,10.580795291146641,0.04659869120933474,19.38752809331158,0.08538426555596121,15.98154849731226,0.07038405176370786,9.405270140699537,0.04142158192905917,8.093908688955677,0.035646238424892875,8.055168905424235,0.035475625237450466,5.1672260860674974,0.022756887943475624
10,Nicaragua Finca 2.CSV,86.04579445359417,3.8857039916244416,0.04515855790860368,4.078504234326435,0.04739922805322038,6.551536806091023,0.07614011640771552,5.529034759048479,0.06425688546614992,3.7280039664609688,0.043325812610999125,3.0068408236681496,0.034944657583349824,2.9194714152072665,0.03392927491397366,1.9409313010595655,0.02255695718058992
11,nicaragua java 1.CSV,119.93465438322681,6.042931383854176,0.05038519863112472,5.143744009109958,0.04288788787162524,9.965254211459422,0.08308903096195598,7.363714537631598,0.06139772174689681,3.036829163176153,0.02532069799836653,3.6128821923246566,0.03012375539750526,3.9560702195817212,0.03298521382269467,2.588749507376083,0.021584666422635946
12,nicaragua java 2.CSV,175.24653182352836,8.051929148268858,0.0459462967083256,7.406246277129865,0.04226187074896231,13.509195360639069,0.07708680577052848,10.361867996980058,0.059127378380385655,5.1367216599308465,0.02931140266503806,5.331769301507489,0.03042439268856134,5.704155854945911,0.0325493223494428,3.8006389733750052,0.021687384816278212
13,nicaragua java 3.CSV,252.73824041852157,11.552682645697104,0.04571006993863079,10.703052207418772,0.042348368769581785,22.168385604683632,0.08771282718425957,17.363363110583062,0.06870097331464452,8.17931493680031,0.032362791334052905,7.689736037132963,0.030425692702454345,8.05654552522656,0.03187703416738731,4.857121170308352,0.01921799076493216
14,Papau New Guniea Estate 1.CSV,194.76809921568258,9.271528455832888,0.04760291081120923,9.2315576291171,0.04739768815474368,17.01707900478437,0.08737097642432692,14.10215187926512,0.07240483393355222,8.359692686204824,0.04292126236210508,7.100332822605774,0.03645531712430482,6.9408198293888965,0.035636327803881075,4.480326412907258,0.02300338931759984
15,Papau New Guniea Estate 2.CSV,249.16818570617124,11.891684561225267,0.0477255333682463,11.465058631722613,0.0460133327183377,22.221426641961152,0.08918243947951492,18.764726650964622,0.07530948061359934,10.829869549124568,0.04346409441651419,8.922752122738148,0.035810158096428096,8.821387491204426,0.03540334600183246,5.623401103599887,0.022568696271004756
