,name,total1,suc1,ratio1,suc2,ratio2
0,burundi magamba 1.CSV,135.12255147029336,47.37764743563541,0.35062724112378363,16.524547217887033,0.12229303723235235
1,burundi magamba 2.CSV,134.62541947292453,45.759768009395586,0.3399043671585265,22.15018946543713,0.16453199961907572
2,burundi murambi 1 (1).CSV,311.7684860806231,112.96679634611802,0.3623419344471682,47.29719943794405,0.1517061587350847
3,burundi murambi 1.CSV,311.7684860806231,112.96679634611802,0.3623419344471682,47.29719943794405,0.1517061587350847
4,burundi murambi 2 (1).CSV,197.60779491294215,70.04006077965472,0.35443976696623475,34.45192819403894,0.17434498577961988
5,Ethiopia Genet 1.CSV,172.0136779219187,67.35079153767242,0.3915432327901542,25.62992790538929,0.14899935990568933
6,Ethiopia genet 2.CSV,224.91058689427427,85.02009310973601,0.3780173013807579,33.26879601144356,0.14792009780794588
7,Guatemala #2  1.CSV,104.35772550773136,44.59087046946723,0.42728863869463796,16.970775015350476,0.16262116611666852
8,Guatemala #2 2.CSV,185.74867202751057,74.02509076090342,0.39852285323439535,25.862061834865155,0.13923147634150956
9,Nicaragua Finca 1.CSV,227.0620701258467,85.41558425260932,0.3761772461832514,31.71877034387554,0.13969206889682523
10,Nicaragua Finca 2.CSV,86.04579445359417,30.917990709419385,0.3593201841618644,10.411552848264474,0.1210001361993303
11,nicaragua java 1.CSV,119.93465438322681,40.39743577780227,0.336828717150595,25.540880580730335,0.21295663636232812
12,nicaragua java 2.CSV,175.24653182352836,57.54642591974684,0.3283741214216756,31.9532638879803,0.18233321684309817
13,nicaragua java 3.CSV,252.73824041852157,88.53976351894133,0.3503219907376265,40.33999070695074,0.1596117415399814
14,Papau New Guniea Estate 1.CSV,194.76809921568258,74.6986224146854,0.38352596095300767,26.523360478355293,0.13617918224371958
15,Papau New Guniea Estate 2.CSV,249.16818570617124,96.28745190327324,0.3864355781633339,35.07247148254305,0.1407582247434344
16,Rwanda peaberry 1.CSV,146.09595824571883,53.56564420823276,0.3666469959294883,17.803748826807176,0.12186339061388027
17,Rwanda peaberry 2.CSV,67.09662920832261,26.02407646444775,0.38785967002377736,7.1901133016764245,0.10716057403349509
18,Rwanda Rwinyoni 1.CSV,155.5195223863238,61.541867751368414,0.3957179575082101,21.6538189678463,0.13923537466927371
19,Rwanda rwinyoni 2.CSV,272.1809367490757,107.62005040661776,0.395398927243141,35.16598564874076,0.12920076647822093
